,(^),(A/),,Aa,AaN
A,A,0.0,0-0-0 0:0,0.0,0.0N
^,A,0.0,0-0-0 0:0,0.0,0.0N
a,A_A,0.0,0-0-0 0:0,0.0,0.0N
Aa,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
Aa,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
aA,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
aA,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a_,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
aA,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
^a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
{,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a[a,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
_,A,0.0,0-0-0 0:0,0.0,0.0N
],A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0N
a,A,0.0,0-0-0 0:0,0.0,0.0N
Aa,A,0.0,0-0-0 0:0,0.0,0.0N
A,A,0.0,0-0-0 0:0,0.0,0.0